Id	Label	pageranks	eigencentrality	Degree	Weighted Degree
San	Matilde Sánchez	0.033534	0.323874	60	43
Lin	Daniel Link	0.028199	0.674232	124	37
Pau	Alan Pauls	0.083719	0.520704	103	104.5
Ch	Luis Chitarroni	0.077752	1	198	102.25
Do	Jorge Dorio	0.041719	0.221217	46	52.25
Coh	Marcelo Cohen	0.028436	0.364322	65	24.25
Cap	Martín Caparrós	0.104213	0.497771	109	113.5
Chej	Sergio Chejfec	0.073115	0.604432	119	96.5
Fei	C.E. Feiling	0.048658	0.857968	158	60.5
Gue	Daniel Guebel	0.058964	0.308783	63	82.5
Mon	Graciela Montaldo	0.045733	0.63779	121	57.25
Biz	Sergio Bizzio	0.038044	0.106697	23	49.25
May	Marcos Mayer	0.037815	0.70609	130	42.75
Cas	Nicolás Casullo	0.024183	0.493478	93	31.5
Saa	Guillermo Saavedra	0.025797	0.399531	72	25
Cris	Américo Cristófalo	0.02661	0.706389	125	31.75
Fors	Ricardo Forster	0.013337	0.180574	33	16.5
Mor	María Moreno	0.023864	0.523938	97	30.25
Aver	Márgara Averbach	0.025299	0.728722	129	32.25
__1		0.002812	0.002753	1	0.75
__2		0.003055	0.003205	1	0.75
__3		0.00292	0.0044	1	0.75
__4		0.002965	0.003509	1	0.75
__5		0.003803	0.003205	1	1.5
__6		0.00333	0.004577	1	1.5
__7		0.003361	0.00529	1	1.5
__8		0.00399	0.002753	1	2.5
__9		0.00292	0.0044	1	0.75
__10		0.003435	0.006139	1	1.5
__11		0.0048	0.003205	1	2.5
__12		0.003435	0.006139	1	1.5
__13		0.004005	0.002001	1	2.5
__14		0.003923	0.008693	1	2.5
__15		0.00292	0.0044	1	0.75
__16		0.002834	0.00529	1	0.75
__17		0.00292	0.0044	1	0.75
__18		0.00292	0.0044	1	0.75
__19		0.002834	0.00529	1	0.75
__20		0.00292	0.0044	1	0.75
__21		0.003532	0.0044	1	1.5
__22		0.00292	0.0044	1	0.75
__23		0.003435	0.006139	1	1.5
__24		0.004959	0.002865	1	4
__25		0.00292	0.0044	1	0.75
__26		0.005033	0.004577	1	4
__27		0.003055	0.003205	1	0.75
__28		0.004339	0.00733	2	3
__29		0.003333	0.007443	1	1.5
__30		0.004934	0.001014	1	4
__31		0.004011	0.004577	1	2.5
__32		0.003361	0.00529	1	1.5
__33		0.003277	0.008693	1	1.5
__34		0.00292	0.0044	1	0.75
__35		0.002834	0.00529	1	0.75
__36		0.004011	0.004577	1	2.5
__37		0.003623	0.003509	1	1.5
__38		0.003326	0.005566	1	1.5
__39		0.003532	0.0044	1	1.5
__40		0.00455	0.006401	2	3
__41		0.002842	0.00613	1	0.75
__42		0.004348	0.0044	1	2.5
__43		0.003333	0.007443	1	1.5
__44		0.003623	0.003509	1	1.5
__45		0.003532	0.0044	1	1.5
__46		0.003326	0.005566	1	1.5
